Year,Region,Poverty Gap,Poverty Line
1996,Albania,0.1,$2.15
2002,Albania,0.19,$2.15
2005,Albania,0.09,$2.15
2008,Albania,0.04,$2.15
2012,Albania,0.13,$2.15
2014,Albania,0.14,$2.15
2015,Albania,0.01,$2.15
2016,Albania,0.01,$2.15
2016,Albania,2.21,$2.15
2017,Albania,0.04,$2.15
2017,Albania,1.8,$2.15
2018,Albania,0.01,$2.15
2018,Albania,1.13,$2.15
2019,Albania,0,$2.15
2020,Albania,0,$2.15
1988,Algeria,0.89,$2.15
1995,Algeria,1.14,$2.15
2011,Algeria,0.15,$2.15
2000,Angola,9.14,$2.15
2008,Angola,4.06,$2.15
2018,Angola,11.93,$2.15
1980,Argentina,0.18,$2.15
1986,Argentina,1.11,$2.15
1987,Argentina,0.89,$2.15
1991,Argentina,0.64,$2.15
1992,Argentina,1.11,$2.15
1993,Argentina,1.16,$2.15
1994,Argentina,1.39,$2.15
1995,Argentina,2.2,$2.15
1996,Argentina,2.74,$2.15
1997,Argentina,2.2,$2.15
1998,Argentina,2.08,$2.15
1999,Argentina,2.37,$2.15
2000,Argentina,2.71,$2.15
2001,Argentina,4.53,$2.15
2002,Argentina,4.87,$2.15
2003,Argentina,1.94,$2.15
2004,Argentina,1.26,$2.15
2005,Argentina,0.9,$2.15
2006,Argentina,0.8,$2.15
2007,Argentina,0.66,$2.15
2008,Argentina,0.61,$2.15
2009,Argentina,0.53,$2.15
2010,Argentina,0.3,$2.15
2011,Argentina,0.29,$2.15
2012,Argentina,0.3,$2.15
2013,Argentina,0.28,$2.15
2014,Argentina,0.27,$2.15
2016,Argentina,0.27,$2.15
2017,Argentina,0.21,$2.15
2018,Argentina,0.3,$2.15
2019,Argentina,0.32,$2.15
2020,Argentina,0.33,$2.15
2021,Argentina,0.39,$2.15
1996,Armenia,3.49,$2.15
1999,Armenia,2.83,$2.15
2001,Armenia,3.01,$2.15
2002,Armenia,2.11,$2.15
2003,Armenia,1.15,$2.15
2004,Armenia,1.23,$2.15
2005,Armenia,0.6,$2.15
2006,Armenia,0.32,$2.15
2007,Armenia,0.28,$2.15
2008,Armenia,0.19,$2.15
2009,Armenia,0.2,$2.15
2010,Armenia,0.15,$2.15
2011,Armenia,0.19,$2.15
2012,Armenia,0.16,$2.15
2013,Armenia,0.34,$2.15
2014,Armenia,0.22,$2.15
2015,Armenia,0.21,$2.15
2016,Armenia,0.15,$2.15
2017,Armenia,0.13,$2.15
2018,Armenia,0.22,$2.15
2019,Armenia,0.12,$2.15
2020,Armenia,0.06,$2.15
2021,Armenia,0.08,$2.15
1981,Australia,0.49,$2.15
1985,Australia,0.58,$2.15
1989,Australia,0.45,$2.15
1995,Australia,0.62,$2.15
2001,Australia,0.62,$2.15
2003,Australia,0.76,$2.15
2004,Australia,0.45,$2.15
2008,Australia,0.31,$2.15
2010,Australia,0.3,$2.15
2014,Australia,0.37,$2.15
2016,Australia,0.31,$2.15
2018,Australia,0.4,$2.15
1994,Austria,0.05,$2.15
1995,Austria,0,$2.15
1996,Austria,0,$2.15
1997,Austria,0.01,$2.15
1998,Austria,0.05,$2.15
1999,Austria,0.06,$2.15
2000,Austria,0,$2.15
2003,Austria,0.26,$2.15
2004,Austria,0.07,$2.15
2005,Austria,0.1,$2.15
2006,Austria,0.05,$2.15
2007,Austria,0.28,$2.15
2008,Austria,0.24,$2.15
2009,Austria,0.47,$2.15
2010,Austria,0.35,$2.15
2011,Austria,0.31,$2.15
2012,Austria,0.45,$2.15
2013,Austria,0.23,$2.15
2014,Austria,0.15,$2.15
2015,Austria,0.57,$2.15
2016,Austria,0.56,$2.15
2017,Austria,0.24,$2.15
2018,Austria,0.47,$2.15
2019,Austria,0.47,$2.15
2020,Austria,0.58,$2.15
1995,Azerbaijan,3.46,$2.15
2001,Azerbaijan,1.14,$2.15
2002,Azerbaijan,0.01,$2.15
2003,Azerbaijan,0,$2.15
2004,Azerbaijan,0,$2.15
2005,Azerbaijan,0,$2.15
1983,Bangladesh,9.33,$2.15
1985,Bangladesh,6.81,$2.15
1988,Bangladesh,10.44,$2.15
1991,Bangladesh,10.53,$2.15
1995,Bangladesh,7.52,$2.15
2000,Bangladesh,7.32,$2.15
2005,Bangladesh,4.57,$2.15
2010,Bangladesh,3.21,$2.15
2016,Bangladesh,2.42,$2.15
1993,Belarus,0.06,$2.15
1995,Belarus,0.48,$2.15
1998,Belarus,5.59,$2.15
1999,Belarus,5.18,$2.15
2000,Belarus,3.52,$2.15
2001,Belarus,1.53,$2.15
2002,Belarus,1.03,$2.15
2003,Belarus,0.79,$2.15
2004,Belarus,0.23,$2.15
2005,Belarus,0.17,$2.15
2006,Belarus,0.09,$2.15
2007,Belarus,0.03,$2.15
2008,Belarus,0.01,$2.15
2009,Belarus,0.02,$2.15
2010,Belarus,0,$2.15
2011,Belarus,0,$2.15
2012,Belarus,0,$2.15
2013,Belarus,0,$2.15
2014,Belarus,0,$2.15
2015,Belarus,0,$2.15
2016,Belarus,0,$2.15
2017,Belarus,0,$2.15
2018,Belarus,0,$2.15
2019,Belarus,0,$2.15
2020,Belarus,0,$2.15
1985,Belgium,0.19,$2.15
1988,Belgium,0.46,$2.15
1992,Belgium,0.78,$2.15
1995,Belgium,0.38,$2.15
1997,Belgium,0.28,$2.15
2000,Belgium,0.3,$2.15
2003,Belgium,0.15,$2.15
2004,Belgium,0.02,$2.15
2005,Belgium,0.14,$2.15
2006,Belgium,0.13,$2.15
2007,Belgium,0.09,$2.15
2008,Belgium,0.08,$2.15
2009,Belgium,0.06,$2.15
2010,Belgium,0.1,$2.15
2011,Belgium,0.09,$2.15
2012,Belgium,0.14,$2.15
2013,Belgium,0.13,$2.15
2014,Belgium,0.06,$2.15
2015,Belgium,0.06,$2.15
2016,Belgium,0.06,$2.15
2017,Belgium,0.12,$2.15
2018,Belgium,0.06,$2.15
2019,Belgium,0.06,$2.15
2020,Belgium,0.03,$2.15
1993,Belize,6.2,$2.15
1994,Belize,5.8,$2.15
1995,Belize,6.31,$2.15
1996,Belize,7.27,$2.15
1997,Belize,9.55,$2.15
1998,Belize,8.07,$2.15
1999,Belize,8.41,$2.15
2003,Benin,18.23,$2.15
2011,Benin,19.78,$2.15
2015,Benin,22.98,$2.15
2018,Benin,4.8,$2.15
2003,Bhutan,2.25,$2.15
2007,Bhutan,1.12,$2.15
2012,Bhutan,0.28,$2.15
2017,Bhutan,0.16,$2.15
2001,Bosnia and Herzegovina,0.13,$2.15
2004,Bosnia and Herzegovina,0.06,$2.15
2007,Bosnia and Herzegovina,0.02,$2.15
2011,Bosnia and Herzegovina,0.02,$2.15
1985,Botswana,17.41,$2.15
1993,Botswana,13.09,$2.15
2002,Botswana,11.06,$2.15
2009,Botswana,5.55,$2.15
2015,Botswana,4.12,$2.15
1981,Brazil,9.72,$2.15
1982,Brazil,9.86,$2.15
1983,Brazil,12.69,$2.15
1984,Brazil,12.09,$2.15
